"USERNAME","USER_ID","PASSWORD","ACCOUNT_STATUS","LOCK_DATE","EXPIRY_DATE","DEFAULT_TABLESPACE","TEMPORARY_TABLESPACE","CREATED","PROFILE","INITIAL_RSRC_CONSUMER_GROUP","EXTERNAL_NAME","PASSWORD_VERSIONS","EDITIONS_ENABLED","AUTHENTICATION_TYPE"
"SYS",0,"","OPEN",,22-OCT-17,"SYSTEM","TEMP",25-APR-17,"DEFAULT","SYS_GROUP","","10G 11G ","N","PASSWORD"
"SYSTEM",5,"","OPEN",,22-OCT-17,"SYSTEM","TEMP",25-APR-17,"DEFAULT","SYS_GROUP","","10G 11G ","N","PASSWORD"
"OUTLN",9,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSTEM","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"DIP",14,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"ORACLE_OCM",21,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"DBSNMP",30,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"APPQOSSYS",31,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"WMSYS",32,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"XS$NULL",2147483638,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"EXFSYS",42,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"CTXSYS",43,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"XDB",45,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"ANONYMOUS",46,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","","N","PASSWORD"
"SPATIAL_WFS_ADMIN_USR",61,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"USERS","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"ORDSYS",53,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"ORDDATA",54,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
"ORDPLUGINS",55,"","EXPIRED & LOCKED",25-APR-17,25-APR-17,"SYSAUX","TEMP",25-APR-17,"DEFAULT","DEFAULT_CONSUMER_GROUP","","10G 11G ","N","PASSWORD"
