"PROFILE","RESOURCE_NAME","RESOURCE_TYPE","LIMIT"
"VI_PROFILE2","COMPOSITE_LIMIT","KERNEL","DEFAULT"
"VI_PROFILE2","SESSIONS_PER_USER","KERNEL","2"
"VI_PROFILE2","CPU_PER_SESSION","KERNEL","DEFAULT"
"VI_PROFILE2","CPU_PER_CALL","KERNEL","DEFAULT"
"VI_PROFILE2","LOGICAL_READS_PER_SESSION","KERNEL","DEFAULT"
"VI_PROFILE2","LOGICAL_READS_PER_CALL","KERNEL","DEFAULT"
"VI_PROFILE2","IDLE_TIME","KERNEL","15"
"VI_PROFILE2","CONNECT_TIME","KERNEL","DEFAULT"
"VI_PROFILE2","PRIVATE_SGA","KERNEL","DEFAULT"
"VI_PROFILE2","FAILED_LOGIN_ATTEMPTS","PASSWORD","DEFAULT"
"VI_PROFILE2","PASSWORD_LIFE_TIME","PASSWORD","DEFAULT"
"VI_PROFILE2","PASSWORD_REUSE_TIME","PASSWORD","DEFAULT"
"VI_PROFILE2","PASSWORD_REUSE_MAX","PASSWORD","DEFAULT"
"VI_PROFILE2","PASSWORD_VERIFY_FUNCTION","PASSWORD","DEFAULT"
"VI_PROFILE2","PASSWORD_LOCK_TIME","PASSWORD","DEFAULT"
"VI_PROFILE2","PASSWORD_GRACE_TIME","PASSWORD","DEFAULT"
